
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        144 K
Registry                       144 Services                   0     93,708 K
smss.exe                       684 Services                   0      1,184 K
csrss.exe                      796 Services                   0      5,584 K
wininit.exe                    900 Services                   0      6,936 K
csrss.exe                      912 Console                    1      6,316 K
services.exe                   972 Services                   0     10,948 K
lsass.exe                      992 Services                   0     19,788 K
svchost.exe                    744 Services                   0      3,932 K
fontdrvhost.exe                696 Services                   0      3,608 K
svchost.exe                    788 Services                   0     34,024 K
WUDFHost.exe                   740 Services                   0     20,540 K
WUDFHost.exe                  1104 Services                   0      5,812 K
svchost.exe                   1164 Services                   0     18,092 K
svchost.exe                   1212 Services                   0      8,624 K
winlogon.exe                  1304 Console                    1     12,124 K
fontdrvhost.exe               1360 Console                    1      7,664 K
dwm.exe                       1448 Console                    1    127,060 K
svchost.exe                   1556 Services                   0      7,668 K
svchost.exe                   1568 Services                   0      6,020 K
svchost.exe                   1580 Services                   0      9,576 K
svchost.exe                   1604 Services                   0      9,000 K
svchost.exe                   1636 Services                   0     12,976 K
svchost.exe                   1644 Services                   0     11,824 K
svchost.exe                   1816 Services                   0     10,360 K
svchost.exe                   1848 Services                   0     15,920 K
svchost.exe                   1904 Services                   0     12,480 K
svchost.exe                   1916 Services                   0     11,020 K
svchost.exe                   1928 Services                   0     12,460 K
svchost.exe                   1720 Services                   0      8,756 K
svchost.exe                   2064 Services                   0      6,232 K
svchost.exe                   2080 Services                   0      9,220 K
svchost.exe                   2112 Services                   0      7,824 K
svchost.exe                   2128 Services                   0     10,156 K
svchost.exe                   2164 Services                   0      7,812 K
svchost.exe                   2192 Services                   0      9,800 K
svchost.exe                   2236 Services                   0     18,488 K
svchost.exe                   2276 Services                   0      7,400 K
svchost.exe                   2480 Services                   0      8,588 K
svchost.exe                   2564 Services                   0      7,592 K
svchost.exe                   2616 Services                   0     12,956 K
igfxCUIService.exe            2748 Services                   0      8,760 K
NVDisplay.Container.exe       2796 Services                   0     16,564 K
svchost.exe                   2812 Services                   0      9,932 K
svchost.exe                   2836 Services                   0     14,816 K
svchost.exe                   2884 Services                   0      8,688 K
svchost.exe                   2980 Services                   0      5,824 K
svchost.exe                   2988 Services                   0     13,824 K
Memory Compression            2244 Services                   0     13,836 K
svchost.exe                   2592 Services                   0      8,236 K
svchost.exe                   2528 Services                   0      7,552 K
svchost.exe                   3096 Services                   0      9,144 K
svchost.exe                   3304 Services                   0     40,540 K
svchost.exe                   3320 Services                   0      6,708 K
NVDisplay.Container.exe       3380 Console                    1     38,496 K
svchost.exe                   3440 Services                   0     11,664 K
WmiPrvSE.exe                  3544 Services                   0     30,020 K
svchost.exe                   3612 Services                   0     14,596 K
svchost.exe                   3724 Services                   0      6,712 K
svchost.exe                   3764 Services                   0     19,864 K
svchost.exe                   4008 Services                   0     12,992 K
wlanext.exe                   4084 Services                   0      5,644 K
conhost.exe                   4092 Services                   0     10,600 K
spoolsv.exe                   3904 Services                   0     16,524 K
svchost.exe                   4140 Services                   0     20,592 K
svchost.exe                   4204 Services                   0      8,464 K
svchost.exe                   4344 Services                   0     10,636 K
esif_uf.exe                   4552 Services                   0      5,556 K
IntelCpHDCPSvc.exe            4560 Services                   0      7,676 K
svchost.exe                   4568 Services                   0     29,260 K
svchost.exe                   4580 Services                   0     30,216 K
svchost.exe                   4588 Services                   0     15,000 K
OfficeClickToRun.exe          4608 Services                   0     55,452 K
svchost.exe                   4620 Services                   0     12,940 K
svchost.exe                   4640 Services                   0      7,548 K
svchost.exe                   4652 Services                   0     21,596 K
SmartByteNetworkService.e     4660 Services                   0    111,996 K
ThunderboltService.exe        4672 Services                   0     18,868 K
NahimicService.exe            4684 Services                   0     26,460 K
RstMwService.exe              4692 Services                   0      8,588 K
nvcontainer.exe               4704 Services                   0     35,184 K
MsMpEng.exe                   4712 Services                   0    227,348 K
FNPLicensingService64.exe     4724 Services                   0      8,784 K
svchost.exe                   4736 Services                   0      8,152 K
RtkAudUService64.exe          4752 Services                   0     11,996 K
